id,name,ibu,ibu_category,ibu_category_nbr,srm,srm_category,srm_category_nbr,abv,abv_category,abv_category_nbr,ebc,attenuation_level,attenuation_category,attenuation_category_nbr,description,image_url,ph,tagline,brewers_tips,outcome,malts_name,amount.unit_x,hops_name,hops_add,hops_attribute,amount.unit_y,food_pairing
1,Buzz,60.0,IBU High,3,10.0,Medium Amber,6,4.5,ABV Low,1,20.0,75.0,Atten Medium,2,"A light, crisp and bitter IPA brewed with English and American hops. A small batch brewed only once.",https://images.punkapi.com/v2/keg.png,4.4,A Real Bitter Experience.,The earthy and floral aromas from the hops can be overpowering. Drop a little Cascade in at the end of the boil to lift the profile with a bit of citrus.,IBU High Medium Amber ABV Low Atten Medium,"Maris Otter Extra Pale,Caramalt,Munich","kilograms,kilograms,kilograms","Fuggles,First Gold,Fuggles,First Gold,Cascade","start,start,middle,middle,end","bitter,bitter,flavour,flavour,flavour","grams,grams,grams,grams,grams","Spicy chicken tikka masala,Grilled chicken quesadilla,Caramel toffee cake"
2,Trashy Blonde,41.5,IBU High,3,15.0,Deep Amber,8,4.1,ABV Low,1,15.0,76.0,Atten Medium,2,"A titillating, neurotic, peroxide punk of a Pale Ale. Combining attitude, style, substance, and a little bit of low self esteem for good measure; what would your mother say? The seductive lure of the sassy passion fruit hop proves too much to resist. All that is even before we get onto the fact that there are no additives, preservatives, pasteurization or strings attached. All wrapped up with the customary BrewDog bite and imaginative twist.",https://images.punkapi.com/v2/2.png,4.4,You Know You Shouldn't,Be careful not to collect too much wort from the mash. Once the sugars are all washed out there are some very unpleasant grainy tasting compounds that can be extracted into the wort.,IBU High Deep Amber ABV Low Atten Medium,"Maris Otter Extra Pale,Caramalt,Munich","kilograms,kilograms,kilograms","Amarillo,Simcoe,Amarillo,Motueka","start,start,end,end","bitter,bitter,flavour,flavour","grams,grams,grams,grams","Fresh crab with lemon,Garlic butter dipping sauce,Goats cheese salad,Creamy lemon bar doused in powdered sugar"
3,Berliner Weisse With Yuzu - B-Sides,8.0,IBU Low,1,4.0,Pale Gold,3,4.2,ABV Low,1,8.0,83.0,Atten High,3,Japanese citrus fruit intensifies the sour nature of this German classic.,https://images.punkapi.com/v2/keg.png,3.2,Japanese Citrus Berliner Weisse.,Clean everything twice. All you want is the clean sourness of lactobacillus.,IBU Low Pale Gold ABV Low Atten High,"Propino Pale Malt,Wheat Malt,Propino Pale Malt for kettle souring,Acidulated Malt for kettle souring","kilograms,kilograms,kilograms,kilograms",Bramling Cross,middle,bitter,grams,"Smoked chicken wings,Miso ramen,Yuzu cheesecake"
4,Pilsen Lager,55.0,IBU High,3,15.0,Deep Amber,8,6.3,ABV Low,1,30.0,80.0,Atten Medium,2,"Our Unleash the Yeast series was an epic experiment into the differences in aroma and flavour provided by switching up your yeast. We brewed up a wort with a light caramel note and some toasty biscuit flavour, and hopped it with Amarillo and Centennial for a citrusy bitterness. Everything else is down to the yeast. Pilsner yeast ferments with no fruity esters or spicy phenols, although it can add a hint of butterscotch.",https://images.punkapi.com/v2/4.png,4.4,Unleash the Yeast Series.,Play around with the fermentation temperature to get the best flavour profile from the individual yeasts.,IBU High Deep Amber ABV Low Atten Medium,"Extra Pale,Caramalt,Dark Crystal,Munich","kilograms,kilograms,kilograms,kilograms","Centennial,Amarillo,Centennial,Amarillo,Centennial,Amarillo","start,start,middle,middle,end,end","bitter,bitter,flavour,flavour,flavour,flavour","grams,grams,grams,grams,grams,grams","Spicy crab cakes,Spicy cucumber and carrot Thai salad,Sweet filled dumplings"
5,Avery Brown Dredge,59.0,IBU High,3,5.0,Pale Gold,3,7.2,ABV Low,1,10.0,67.0,Atten Low,1,"An Imperial Pilsner in collaboration with beer writers. Tradition. Homage. Revolution. We wanted to showcase the awesome backbone of the Czech brewing tradition, the noble Saaz hop, and also tip our hats to the modern beers that rock our world, and the people who make them.",https://images.punkapi.com/v2/5.png,4.4,Bloggers' Imperial Pilsner.,Make sure you have a big enough yeast starter to ferment through the OG and lager successfully.,IBU High Pale Gold ABV Low Atten Low,"Lager Malt,Wheat","kilograms,kilograms","Saaz,Saaz,Saaz","start,middle,end","bitter,flavour,flavour","grams,grams,grams","Vietnamese squid salad,Chargrilled corn on the cob with paprika butter,Strawberry and rhubarb pie"
6,Electric India,38.0,IBU Medium,2,7.5,Deep Gold,4,5.2,ABV Low,1,15.0,88.9,Atten High,3,"Re-brewed as a spring seasonal, this beer â€“ which appeared originally as an Equity Punk shareholder creation â€“ retains its trademark spicy, fruity edge. A perfect blend of Belgian Saison and US IPA, crushed peppercorns and heather honey are also added to produce a genuinely unique beer.",https://images.punkapi.com/v2/6.png,4.4,Vibrant Hoppy Saison.,Source some really good heather honey to get the right spicy esters in the beer.,IBU Medium Deep Gold ABV Low Atten High,"Extra Pale,Munich,Wheat","kilograms,kilograms,kilograms","Amarillo,Nelson Sauvin,Amarillo,Peppercorns,Nelson Sauvin,Amarillo","start,middle,middle,middle,end,end","bitter,flavour,flavour,flavour,flavour,flavour","grams,grams,grams,grams,grams,grams","Mussels with a garlic and herb sauce,Crab melt sandwich,Shortbread cookies"
7,AB:12,35.0,IBU Medium,2,40.0,Black,12,11.2,ABV Medium,2,80.0,84.0,Atten High,3,"An Imperial Black Belgian Ale aged in old Invergordon Scotch whisky barrels with mountains of raspberries, tayberries and blackberries in each cask. Decadent but light and dry, this beer would make a fantastic base for ageing on pretty much any dark fruit - we used raspberries, tayberries and blackberries beause they were local.",https://images.punkapi.com/v2/7.png,5.3,Imperial Black Belgian Ale.,Don't worry too much about controlling the temperature with the Belgian yeast strain - just make sure it doesn't rise above 30Â°C!,IBU Medium Black ABV Medium Atten High,"Extra Pale,Chocolate,Carafa Special Malt Type 3","kilograms,kilograms,kilograms","Tomahawk,Magnum,Magnum,Tomahawk,Centennial,Amarillo,Centennial,Amarillo,Tomahawk","start,start,middle,end,end,end,dry hop,dry hop,dry hop","bitter,bitter,flavour,flavour,flavour,flavour,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams,grams,grams","Tandoori lamb with pomegranate,Beef Wellington with a red wine jus,Raspberry chocolate torte"
8,Fake Lager,40.0,IBU High,3,6.0,Deep Gold,4,4.7,ABV Low,1,12.0,78.0,Atten Medium,2,"Fake is the new black. Fake is where it is at. Fake Art, fake brands, fake breasts, and fake lager. We want to play our part in the ugly fallout from the Lager Dream. Say hello to Fake Lager â€“ a zesty, floral 21st century faux masterpiece with added BrewDog bitterness.",https://images.punkapi.com/v2/8.png,4.4,Bohemian Pilsner.,Once the primary fermentation is complete get this beer as cold as you can and let it mature for as long as you've got.,IBU High Deep Gold ABV Low Atten Medium,"Extra Pale,Munich,Caramalt,Acidulated Malt","kilograms,kilograms,kilograms,kilograms","Magnum,Magnum,Hersbrucker,Saaz,Hersbrucker,Saaz","start,middle,middle,middle,end,end","bitter,flavour,flavour,flavour,flavour,flavour","grams,grams,grams,grams,grams,grams","Fried crab cakes with avocado salsa,Spicy shredded pork roll with hot dipping sauce,Key lime pie"
9,AB:07,30.0,IBU Medium,2,42.0,Black,12,12.5,ABV Medium,2,84.0,83.0,Atten High,3,"Whisky cask-aged imperial scotch ale. Beer perfect for when the rain is coming sideways. Liquorice, plum and raisin temper the warming alcohol, producing a beer capable of holding back the Scottish chill.",https://images.punkapi.com/v2/9.png,5.6,Whisky Cask-Aged Scotch Ale.,Authentic heather honey adds a beautiful floral top note that is unachievable any other way.,IBU Medium Black ABV Medium Atten High,"Munich,Flaked Oats,Wheat,Caramalt,Crystal,Dark Crystal,Chocolate,Peated Malt,Amber,Brown","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","Saaz,First Gold","start,start","bitter,bitter","grams,grams","Kedgeree,Scotch broth with sourdough bread,Clootie dumpling"
10,Bramling X,75.0,IBU High,3,11.0,Medium Amber,6,7.5,ABV Low,1,22.0,80.9,Atten Medium,2,"Good old Bramling Cross is elegant, refined, assured, (boring) and understated. Understated that is unless you hop the living daylights out of a beer with it. This is Bramling Cross re-invented and re-imagined, and shows just what can be done with English hops if you use enough of them. Poor Bramling Cross normally gets lost in a woeful stream of conformist brown ales made by sleepy cask ale brewers. But not anymore. This beer shows that British hops do have some soul, and is a fruity riot of blackberries, pears, and plums. Reminds me of the bramble, apple and ginger jam my grandmother used to make.",https://images.punkapi.com/v2/10.png,4.4,Single Hop IPA Series - 2011.,"Getting good Bramling Cross is key. Most English hops are in leaf form (not pelletised), so getting fresh hops close to harvest (September) will give this beer the right amount of dark berry intensity.",IBU High Medium Amber ABV Low Atten Medium,"Extra Pale,Crystal 150,Caramalt","kilograms,kilograms,kilograms","Bramling Cross,Bramling Cross","start,end","bitter,flavour","grams,grams","Warm blackberry pie,Vinegar doused fish and chips,Aromatic korma curry with lemon and garlic naan"
